id,title,comment,user_agent,inet,phantom,creator_id,created_at,updated_at,block
9,YandexImageResizer,робот мобильных сервисов;,YandexImageResizer,,f,3,2014-03-06 19:41:59.043748,2014-05-01 21:37:27.090799,f
219,MJ12bot,,MJ12bot,,f,3,2014-05-01 19:51:11.827553,2014-05-01 22:29:49.135247,t
223,LinkpadBot,,LinkpadBot,,f,3,2014-05-01 20:14:02.133625,2014-05-01 20:14:02.133625,f
226,Baiduspider,,Baiduspider,,f,3,2014-05-01 21:03:17.30738,2014-09-04 07:46:52.12679,t
227,TurnitinBot,,TurnitinBot,,f,3,2014-05-01 21:04:01.109155,2014-05-01 21:04:01.109155,f
228,AhrefsBot,,AhrefsBot,,f,3,2014-05-01 21:05:02.169717,2014-09-04 07:29:38.202001,t
229,WebBot-FindUrl,,WebBot-FindUrl,,f,3,2014-05-01 21:06:16.702657,2014-05-01 21:06:16.702657,f
230,Mail.RU_Bot,,Mail.RU_Bot,,f,3,2014-05-01 21:07:27.735772,2014-05-01 21:07:27.735772,f
233,BLEXBot,,BLEXBot,,f,3,2014-05-01 21:10:11.191815,2014-09-05 02:38:14.095485,t
235,nbot,,nbot,,f,3,2014-05-01 21:11:00.274934,2014-05-01 21:11:00.274934,f
237,pr-cy.ru,,pr-cy.ru,,f,3,2014-05-01 21:12:12.540158,2014-05-01 21:12:12.540158,f
239,mbot,,mbot,,f,3,2014-05-01 21:13:34.053755,2014-05-01 21:13:34.053755,f
240,archive.org_bot,,archive.org_bot,,f,3,2014-05-01 21:14:23.75357,2014-05-01 21:14:47.158795,f
242,Rootlebot,,Rootlebot,,f,3,2014-05-01 21:21:21.61869,2014-05-01 21:21:21.61869,f
243,Vedma,,Vedma,,f,3,2014-05-01 21:22:20.584199,2014-05-01 21:22:20.584199,f
246,YandexDirect,,YandexDirect,,f,3,2014-05-01 21:29:55.323806,2014-05-01 21:29:55.323806,f
247,AntBot,,AntBot,,f,3,2014-05-01 21:30:15.829047,2014-05-01 21:30:15.829047,f
248,200PleaseBot,,200PleaseBot,,f,3,2014-05-01 21:30:29.33487,2014-05-01 21:30:29.33487,f
249,statdom.ru,,statdom.ru,,f,3,2014-05-01 21:30:52.418176,2014-05-01 21:30:52.418176,f
250,SputnikImageBot,,SputnikImageBot,,f,3,2014-05-01 21:31:24.9721,2014-05-01 21:31:24.9721,f
251,TweetmemeBot,,TweetmemeBot,,f,3,2014-05-01 21:32:34.526951,2014-05-01 21:32:34.526951,f
252,CCBot,,CCBot,,f,3,2014-05-01 21:33:46.883317,2014-05-01 21:33:46.883317,f
253,emefgebot,,emefgebot,,f,3,2014-05-01 21:34:00.691284,2014-05-01 21:34:00.691284,f
254,oBot,,oBot,,f,3,2014-05-01 21:34:12.056461,2014-05-01 21:34:12.056461,f
255,pmoz.info,,pmoz.info,,f,3,2014-05-01 21:34:31.781348,2014-05-01 21:34:31.781348,f
256,SEOkicks-Robot,,SEOkicks-Robot,,f,3,2014-05-01 21:34:47.790508,2014-05-01 21:34:47.790508,f
257,SemrushBot,,SemrushBot,,f,3,2014-05-01 21:35:02.030666,2014-05-01 21:35:02.030666,f
258,YandexCatalog,,YandexCatalog,,f,3,2014-05-01 21:36:01.316228,2014-05-01 21:36:01.316228,f
259,YandexImages,,YandexImages,,f,3,2014-05-01 21:39:14.169848,2014-05-01 21:39:14.169848,f
261,ContextAd,,ContextAd,,f,3,2014-05-01 21:45:42.560177,2014-05-01 21:45:42.560177,f
