id,title,comment,user_agent,inet,phantom,creator_id,created_at,updated_at,block
262,Wotbox,,Wotbox,,f,3,2014-05-01 21:46:27.172369,2014-05-01 21:46:27.172369,f
263,ScreenerBot,,ScreenerBot,,f,3,2014-05-01 21:47:27.626603,2014-05-01 21:47:27.626603,f
264,RookeeBot,,RookeeBot,,f,3,2014-05-01 21:47:44.433736,2014-05-01 21:47:44.433736,f
265,niki-bot,,niki-bot,,f,3,2014-05-01 21:47:55.654272,2014-05-01 21:47:55.654272,f
266,psbot,,psbot,,f,3,2014-05-01 21:48:11.089477,2014-05-01 21:48:11.089477,f
267,KomodiaBot,,KomodiaBot,,f,3,2014-05-01 21:48:56.051576,2014-05-01 21:49:51.634649,f
268,YandexWebmaster,,YandexWebmaster,,f,3,2014-05-01 21:49:35.992123,2014-05-01 21:49:35.992123,f
271,meanpathbot,,meanpathbot,,f,3,2014-05-01 21:53:02.173692,2014-05-01 21:53:02.173692,f
272,openstat.ru,,openstat.ru,,f,3,2014-05-01 21:53:13.596151,2014-05-01 21:53:13.596151,f
274,p4Bot,,p4Bot,,f,3,2014-05-01 21:54:25.550132,2014-05-01 21:54:25.550132,f
275,linkdexbot,,linkdexbot,,f,3,2014-05-01 21:55:00.469145,2014-05-01 21:55:00.469145,f
277,YandexFavicons,,YandexFavicons,,f,3,2014-05-01 21:55:47.652003,2014-05-01 21:55:47.652003,f
280,u12Bot,,u12Bot,,f,3,2014-05-01 21:57:44.681147,2014-05-01 21:57:44.681147,f
283,SurveyBot,,SurveyBot,,f,3,2014-05-01 21:59:56.134887,2014-05-01 21:59:56.134887,f
284,ZyBorg,,ZyBorg,,f,3,2014-05-01 22:00:18.96689,2014-05-01 22:00:18.96689,f
285,Microsearchrubot,,Microsearchrubot,,f,3,2014-05-01 22:00:32.146192,2014-05-01 22:00:32.146192,f
286,Who.is Bot,,Who.is Bot,,f,3,2014-05-01 22:00:51.793042,2014-05-01 22:00:51.793042,f
287,Phantom.js bot,,Phantom.js bot,,f,3,2014-05-01 22:01:05.507092,2014-05-01 22:01:05.507092,f
288,James BOT,,James BOT,,f,3,2014-05-01 22:01:27.079058,2014-05-01 22:01:27.079058,f
289,C-T bot,,C-T bot,,f,3,2014-05-01 22:01:57.34243,2014-05-01 22:01:57.34243,f
290,95.142.160.91,,"",95.142.160.91,f,3,2014-05-01 22:07:55.516831,2014-09-04 07:28:58.13015,f
291,91.142.214.164,,"",91.142.214.164,f,3,2014-05-01 22:08:18.66029,2014-09-04 07:29:11.939237,f
292,88.80.34.20,,"",88.80.34.20,f,3,2014-05-01 22:08:49.153634,2014-09-04 07:29:19.230798,f
294,DotBot,,DotBot,,f,3,2014-05-01 22:31:49.38477,2014-09-05 06:06:15.406898,t
296,YandexBot,,YandexBot,,f,3,2014-05-01 23:34:09.978413,2014-05-01 23:34:09.978413,f
297,bingbot,,bingbot,,f,3,2014-05-01 23:35:37.137684,2014-05-01 23:35:37.137684,f
298,msnbot,,msnbot,,f,3,2014-05-01 23:36:13.029001,2014-05-01 23:36:13.029001,f
299,YandexMetrik,,YandexMetrik,,f,3,2014-05-01 23:37:05.145534,2014-05-01 23:37:05.145534,f
300,SputnikBot,,SputnikBot,,f,3,2014-05-01 23:37:47.163848,2014-05-01 23:37:47.163848,f
301,Exabot,,Exabot,,f,3,2014-05-01 23:38:24.859398,2014-05-01 23:38:24.859398,f
302,LWNutch,,LWNutch,,f,3,2014-05-01 23:39:10.412673,2014-05-01 23:39:10.412673,f
303,YandexMedia,,YandexMedia,,f,3,2014-05-01 23:48:10.412795,2014-05-01 23:48:10.412795,f
304,YandexVideo,,YandexVideo,,f,3,2014-05-01 23:48:24.416752,2014-05-01 23:48:24.416752,f
305,YandexPagechecker,,YandexPagechecker,,f,3,2014-05-01 23:48:43.742566,2014-05-01 23:48:43.742566,f
306,YandexFavicons,,YandexFavicons,,f,3,2014-05-01 23:49:01.337843,2014-05-01 23:49:01.337843,f
307,YandexBlogs,,YandexBlogs,,f,3,2014-05-01 23:49:14.083745,2014-05-01 23:49:14.083745,f
308,YandexSitelinks,,YandexSitelinks,,f,3,2014-05-01 23:50:49.540463,2014-05-01 23:50:49.540463,f
309,YandexAdNet,,YandexAdNet,,f,3,2014-05-01 23:51:47.48864,2014-05-01 23:51:47.48864,f
310,YandexNewslinks,,YandexNewslinks,,f,3,2014-05-01 23:52:10.223818,2014-05-01 23:52:10.223818,f
311,YandexAntivirus,,YandexAntivirus,,f,3,2014-05-01 23:52:32.833698,2014-05-01 23:52:32.833698,f
312,YandexZakladki,,YandexZakladki,,f,3,2014-05-01 23:52:57.190156,2014-05-01 23:52:57.190156,f
313,YandexMarket,,YandexMarket,,f,3,2014-05-01 23:53:10.992459,2014-05-01 23:53:10.992459,f
314,YandexVertis,,YandexVertis,,f,3,2014-05-01 23:53:40.907568,2014-05-01 23:53:40.907568,f
315,YandexCalendar,,YandexCalendar,,f,3,2014-05-01 23:54:01.484758,2014-05-01 23:54:01.484758,f
316,YandexNews,,YandexNews,,f,3,2014-05-01 23:55:32.886987,2014-05-01 23:55:32.886987,f
321,curl,,curl,,f,3,2014-05-02 19:23:13.286175,2014-05-02 19:23:13.286175,f
323,Nigma.ru,,Nigma.ru,,f,3,2014-05-02 19:28:56.909809,2014-05-02 19:28:56.909809,f
324,Prlog,,Prlog,,f,3,2014-05-02 19:33:03.710098,2014-05-02 19:33:03.710098,f
325,Refer.Ru,,Refer.Ru,,f,3,2014-05-02 19:40:22.959509,2014-05-02 19:40:22.959509,f
326,My Nutch Spider,,My Nutch Spider,,f,3,2014-05-02 19:41:15.542474,2014-05-02 19:41:15.542474,f
327,"",,Ruby,,f,3,2014-05-09 03:38:19.154137,2014-05-09 03:38:19.154137,f
330,proximic,,Mozilla/5.0 (compatible; proximic; +http://www.proximic.com/info/spider.php),,f,2708406,2014-09-29 22:23:32.225276,2014-09-29 22:23:32.225276,f
331,PycURL,,PycURL/7.22.0,,f,2708406,2014-09-29 22:23:58.622976,2014-09-29 22:26:01.121061,f
332,Java,,Java/1.4.1_04,,f,2708406,2014-09-29 22:24:28.224144,2014-09-29 22:26:06.046261,f
336,"",,Mozilla/5.0 (compatible; Web-Monitoring/1.0; +http://monoid.nic.ru/),,f,2708406,2014-11-06 02:14:58.349823,2014-11-06 02:14:58.349823,f
337,"",,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp),,f,2708406,2014-11-06 02:16:47.541621,2014-11-06 02:16:47.541621,f
339,"",,Java/1.6.0_04,,f,2708406,2014-11-06 02:51:23.47756,2014-11-06 02:51:23.47756,f
344,Yandex.Commerce.Pinger,,Yandex.Commerce.Pinger,,f,2708406,2014-11-06 02:57:51.68798,2014-11-06 12:21:19.729272,f
348,Обширный Яндекс,,Mozilla/5.0 (compatible; Yandex,,f,2708406,2014-11-06 03:00:35.685239,2014-11-06 12:35:11.150017,f
353,"",,Googlebot,,f,2708406,2014-11-07 03:51:14.169096,2014-11-07 03:51:14.169096,f
354,"",,Google favicon,,f,2708406,2014-11-07 03:55:17.926232,2014-11-07 03:55:17.926232,f
355,"",,Google Page Speed Insights,,f,2708406,2014-11-07 03:55:49.830678,2014-11-07 03:55:49.830678,f
356,"",,Google Web Preview,,f,2708406,2014-11-07 03:56:17.756302,2014-11-07 03:56:17.756302,f
357,"",,Mediapartners-Google,,f,2708406,2014-11-07 03:56:30.603806,2014-11-07 03:56:30.603806,f
358,"",,Yandex/1.01.001 (compatible; Win16; I),,f,2708406,2014-11-17 06:02:45.235993,2014-11-17 06:02:45.235993,f
