id,brand_id,cached_brand,name,content,creator_id,phantom,created_at,updated_at,slang,from,to,preview
59,1943,ADAM  OPEL  AG,OPEL,,4102032,t,2014-10-04 04:52:45.688429,2014-10-04 04:52:45.688429,,,,
60,39,LEXUS,RX 330,,,,2014-10-12 03:54:56.689276,2014-10-12 03:54:56.689276,,,,
61,39,LEXUS,LX 570,,,,2014-10-12 03:54:57.387516,2014-10-12 03:54:57.387516,,,,
62,38,MAZDA,CX 9,,,,2014-10-12 03:55:07.34477,2014-10-12 03:55:07.34477,,,,
63,38,MAZDA,Mazda 3,,,,2014-10-12 03:55:13.8156,2014-10-12 03:55:13.8156,,,,
64,38,MAZDA,Mazda 6,,,,2014-10-12 03:55:16.306372,2014-10-12 03:55:16.306372,,,,
65,38,MAZDA,CX 5,,,,2014-10-12 03:55:21.507688,2014-10-12 03:55:21.507688,,,,
66,38,MAZDA,CX 7,,,,2014-10-12 03:55:26.69513,2014-10-12 03:55:26.69513,,,,
67,8,NISSAN,NP 300,,,,2014-10-12 03:56:29.719677,2014-10-12 03:56:29.719677,,,,
70,58,TOYOTA,Rav 4,,,,2014-10-12 03:58:24.200424,2014-10-12 03:58:24.200424,,,,
71,3,BMW,1,,,,2014-10-12 03:59:54.860653,2014-10-12 03:59:54.860653,,,,
72,3,BMW,3,,,,2014-10-12 03:59:57.885941,2014-10-12 03:59:57.885941,,,,
73,3,BMW,5,,,,2014-10-12 04:00:03.770995,2014-10-12 04:00:03.770995,,,,
74,319,BOMBARDIER,OUTLANDER,,,,2014-10-12 04:00:41.295726,2014-10-12 04:00:41.295726,,,,
75,59,CHEVROLET,LEGANZA,,,,2014-10-12 04:02:01.936057,2014-10-12 04:02:01.936057,,,,
76,67,CHRYSLER,PT,,,,2014-10-12 04:02:17.81947,2014-10-12 04:02:17.81947,,,,
77,1379,PEUGEOT / CITROEN,C3,,,,2014-10-12 04:02:35.381841,2014-10-12 04:02:35.381841,,,,
78,1379,PEUGEOT / CITROEN,C5,,,,2014-10-12 04:02:36.649417,2014-10-12 04:02:36.649417,,,,
79,1379,PEUGEOT / CITROEN,XSARA,,,,2014-10-12 04:02:38.782705,2014-10-12 04:02:38.782705,,,,
80,42,DAIHATSU,GRAN,,,,2014-10-12 04:02:43.226382,2014-10-12 04:02:43.226382,,,,
81,64,FORD,F150,,,,2014-10-12 04:03:11.526573,2014-10-12 04:03:11.526573,,,,
82,64,FORD,GRAND,,,,2014-10-12 04:04:03.174795,2014-10-12 04:04:03.174795,,,,
83,64,FORD,S,,,,2014-10-12 04:04:23.640714,2014-10-12 04:04:23.640714,,,,
84,51,HONDA,CR,,,,2014-10-12 04:23:26.781461,2014-10-12 04:23:26.781461,,,,
85,51,HONDA,FR,,,,2014-10-12 04:24:59.442121,2014-10-12 04:24:59.442121,,,,
86,51,HONDA,HR,,,,2014-10-12 04:25:00.008304,2014-10-12 04:25:00.008304,,,,
87,51,HONDA,STEP,,,,2014-10-12 04:26:27.933544,2014-10-12 04:26:27.933544,,,,
88,50,HYUNDAI,H,,,,2014-10-12 04:27:35.944118,2014-10-12 04:27:35.944118,,,,
89,50,HYUNDAI,H100,,,,2014-10-12 04:27:44.932652,2014-10-12 04:27:44.932652,,,,
