id,name,content,model_id,cached_model,creator_id,phantom,created_at,updated_at,from,to,preview
53,6 series (E63) (2004),,23,6 series,,f,2014-02-07 12:04:34.669472,2014-02-07 12:04:34.669472,,,
54,6 series (E24) (1976),,23,6 series,,f,2014-02-07 12:04:34.678393,2014-02-07 12:04:34.678393,,,
55,6 series Convertible (F12) (2011),,24,6 series Convertible,,f,2014-02-07 12:04:34.696926,2014-02-07 12:04:34.696926,,,
56,6 series Convertible (E64) (2004),,24,6 series Convertible,,f,2014-02-07 12:04:34.705877,2014-02-07 12:04:34.705877,,,
57,600 (1957),,25,600,,f,2014-02-07 12:04:34.725046,2014-02-07 12:04:34.725046,,,
58,7 series (F01/02) (2008),,26,7 series,,f,2014-02-07 12:04:34.743965,2014-02-07 12:04:34.743965,,,
59,7 series (E65/E66) (2002),,26,7 series,,f,2014-02-07 12:04:34.752892,2014-02-07 12:04:34.752892,,,
60,7 series (E38) (1994),,26,7 series,,f,2014-02-07 12:04:34.808783,2014-02-07 12:04:34.808783,,,
61,7 series (E32) (1986),,26,7 series,,f,2014-02-07 12:04:34.818196,2014-02-07 12:04:34.818196,,,
62,7 series (E23) (1977),,26,7 series,,f,2014-02-07 12:04:34.827314,2014-02-07 12:04:34.827314,,,
63,700 (1959),,27,700,,f,2014-02-07 12:04:34.847436,2014-02-07 12:04:34.847436,,,
64,8 series (E31) (1989),,28,8 series,,f,2014-02-07 12:04:34.867256,2014-02-07 12:04:34.867256,,,
65,E3 (1968),,29,E3,,f,2014-02-07 12:04:34.887014,2014-02-07 12:04:34.887014,,,
66,E9 (1968),,30,E9,,f,2014-02-07 12:04:34.906039,2014-02-07 12:04:34.906039,,,
67,5 series Gran Turismo (2009),,31,Gran Turismo,,f,2014-02-07 12:04:34.925416,2014-02-07 12:04:34.925416,,,
68,Isetta (1950),,32,Isetta,,f,2014-02-07 12:04:34.945904,2014-02-07 12:04:34.945904,,,
69,M Coupe (1998),,33,M Coupe,,f,2014-02-07 12:04:34.965058,2014-02-07 12:04:34.965058,,,
70,M Roadster (1998),,34,M Roadster,,f,2014-02-07 12:04:34.984327,2014-02-07 12:04:34.984327,,,
71,M1 (E26) (1978),,35,M1,,f,2014-02-07 12:04:35.003369,2014-02-07 12:04:35.003369,,,
72,M3 (E90) (2007),,36,M3,,f,2014-02-07 12:04:35.022662,2014-02-07 12:04:35.022662,,,
73,M3 (E36) (1992),,36,M3,,f,2014-02-07 12:04:35.031793,2014-02-07 12:04:35.031793,,,
