id,spare_info_id,count,price,place_id,created_at,updated_at
1,956513,1,1660,,2015-01-12 17:13:16.862343,2015-01-12 17:13:16.862343
2,1025586,1,500,,2015-01-12 17:13:16.947537,2015-01-12 17:13:16.947537
3,973992,1,350,,2015-01-12 17:13:17.00054,2015-01-12 17:13:17.00054
4,956566,6,1200,,2015-01-12 17:13:17.046089,2015-01-12 17:13:17.046089
5,973993,1,860,,2015-01-12 17:13:17.101989,2015-01-12 17:13:17.101989
6,973994,1,300,,2015-01-12 17:13:17.122102,2015-01-12 17:13:17.122102
7,973995,1,950,,2015-01-12 17:13:17.148678,2015-01-12 17:13:17.148678
8,1007529,1,500,,2015-01-12 17:13:17.172907,2015-01-12 17:13:17.172907
9,975072,2,400,,2015-01-12 17:13:17.223613,2015-01-12 17:13:17.223613
10,953501,5,600,,2015-01-12 17:13:17.283361,2015-01-12 17:13:17.283361
11,975073,4,200,,2015-01-12 17:13:17.331163,2015-01-12 17:13:17.331163
12,975074,1,215,,2015-01-12 17:13:17.381797,2015-01-12 17:13:17.381797
13,953551,2,180,,2015-01-12 17:13:17.429204,2015-01-12 17:13:17.429204
14,953546,1,4200,,2015-01-12 17:13:17.470356,2015-01-12 17:13:17.470356
15,933629,1,1580,,2015-01-12 17:13:17.490241,2015-01-12 17:13:17.490241
16,933673,3,3900,,2015-01-12 17:13:17.552798,2015-01-12 17:13:17.552798
17,933689,1,4950,,2015-01-12 17:13:17.608074,2015-01-12 17:13:17.608074
18,933664,1,490,,2015-01-12 17:13:17.656482,2015-01-12 17:13:17.656482
19,933683,1,250,,2015-01-12 17:13:17.70548,2015-01-12 17:13:17.70548
20,1007188,2,840,,2015-01-12 17:13:17.760363,2015-01-12 17:13:17.760363
21,933691,1,700,,2015-01-12 17:13:18.289099,2015-01-12 17:13:18.289099
22,973816,1,400,,2015-01-12 17:13:18.813861,2015-01-12 17:13:18.813861
23,973817,3,1000,,2015-01-12 17:13:18.874081,2015-01-12 17:13:18.874081
24,933730,2,450,,2015-01-12 17:13:18.922511,2015-01-12 17:13:18.922511
25,933734,4,140,,2015-01-12 17:13:18.979208,2015-01-12 17:13:18.979208
26,933637,1,1600,,2015-01-12 17:13:19.015807,2015-01-12 17:13:19.015807
27,1007530,1,1400,,2015-01-12 17:13:19.037847,2015-01-12 17:13:19.037847
28,973820,1,880,,2015-01-12 17:13:19.063058,2015-01-12 17:13:19.063058
29,1025590,1,850,,2015-01-12 17:13:19.111456,2015-01-12 17:13:19.111456
30,973819,2,2800,,2015-01-12 17:13:19.14444,2015-01-12 17:13:19.14444
31,974998,1,585,,2015-01-12 17:13:19.196581,2015-01-12 17:13:19.196581
32,937402,1,135,,2015-01-12 17:13:19.237361,2015-01-12 17:13:19.237361
33,937404,10,75,,2015-01-12 17:13:19.279293,2015-01-12 17:13:19.279293
34,937406,4,155,,2015-01-12 17:13:19.33083,2015-01-12 17:13:19.33083
35,974997,1,40,,2015-01-12 17:13:19.39437,2015-01-12 17:13:19.39437
36,937392,11,200,,2015-01-12 17:13:19.447233,2015-01-12 17:13:19.447233
37,937405,2,1100,,2015-01-12 17:13:19.490027,2015-01-12 17:13:19.490027
38,974995,2,2200,,2015-01-12 17:13:19.540731,2015-01-12 17:13:19.540731
39,975602,2,2200,,2015-01-12 17:13:19.572228,2015-01-12 17:13:19.572228
40,974993,2,1125,,2015-01-12 17:13:19.60538,2015-01-12 17:13:19.60538
41,1007450,1,435,,2015-01-12 17:13:19.639419,2015-01-12 17:13:19.639419
42,937343,1,950,,2015-01-12 17:13:19.684096,2015-01-12 17:13:19.684096
43,974994,2,550,,2015-01-12 17:13:19.741604,2015-01-12 17:13:19.741604
44,1007289,1,450,,2015-01-12 17:13:19.768853,2015-01-12 17:13:19.768853
45,974996,2,1000,,2015-01-12 17:13:19.787914,2015-01-12 17:13:19.787914
46,1007288,1,1200,,2015-01-12 17:13:19.813596,2015-01-12 17:13:19.813596
47,932885,5,200,,2015-01-12 17:13:19.855608,2015-01-12 17:13:19.855608
48,932887,1,1870,,2015-01-12 17:13:19.923633,2015-01-12 17:13:19.923633
49,932893,9,400,,2015-01-12 17:13:19.971647,2015-01-12 17:13:19.971647
50,974731,2,1300,,2015-01-12 17:13:20.033671,2015-01-12 17:13:20.033671
51,932827,1,105,,2015-01-12 17:13:20.185601,2015-01-12 17:13:20.185601
52,974732,1,4600,,2015-01-12 17:13:20.24109,2015-01-12 17:13:20.24109
53,974733,1,2500,,2015-01-12 17:13:20.321098,2015-01-12 17:13:20.321098
54,974734,2,1750,,2015-01-12 17:13:20.359949,2015-01-12 17:13:20.359949
55,932891,7,320,,2015-01-12 17:13:20.404965,2015-01-12 17:13:20.404965
56,932889,14,60,,2015-01-12 17:13:20.47434,2015-01-12 17:13:20.47434
57,974735,1,30,,2015-01-12 17:13:20.530425,2015-01-12 17:13:20.530425
58,932883,1,4950,,2015-01-12 17:13:20.589094,2015-01-12 17:13:20.589094
59,974736,2,700,,2015-01-12 17:13:20.614431,2015-01-12 17:13:20.614431
60,1027057,1,400,,2015-01-12 17:13:20.687074,2015-01-12 17:13:20.687074
61,974737,2,1000,,2015-01-12 17:13:20.742283,2015-01-12 17:13:20.742283
62,943500,4,120,,2015-01-12 17:13:20.790602,2015-01-12 17:13:20.790602
63,943493,1,4400,,2015-01-12 17:13:20.830722,2015-01-12 17:13:20.830722
64,975111,1,550,,2015-01-12 17:13:20.880891,2015-01-12 17:13:20.880891
65,975110,1,80,,2015-01-12 17:13:20.922269,2015-01-12 17:13:20.922269
66,975109,1,640,,2015-01-12 17:13:20.961794,2015-01-12 17:13:20.961794
67,975112,1,70,,2015-01-12 17:13:20.998129,2015-01-12 17:13:20.998129
68,975115,2,1350,,2015-01-12 17:13:21.020201,2015-01-12 17:13:21.020201
69,943531,6,160,,2015-01-12 17:13:21.05441,2015-01-12 17:13:21.05441
70,975113,5,20,,2015-01-12 17:13:21.087048,2015-01-12 17:13:21.087048
71,975116,1,500,,2015-01-12 17:13:21.102402,2015-01-12 17:13:21.102402
72,975125,1,3400,,2015-01-12 17:13:21.138946,2015-01-12 17:13:21.138946
73,965033,2,2485,,2015-01-12 17:13:21.180539,2015-01-12 17:13:21.180539
74,975122,1,660,,2015-01-12 17:13:21.221288,2015-01-12 17:13:21.221288
75,965047,1,40,,2015-01-12 17:13:21.263031,2015-01-12 17:13:21.263031
76,964991,1,350,,2015-01-12 17:13:21.29626,2015-01-12 17:13:21.29626
77,1025567,1,2500,,2015-01-12 17:13:21.330607,2015-01-12 17:13:21.330607
78,975123,1,380,,2015-01-12 17:13:21.370087,2015-01-12 17:13:21.370087
79,975124,1,2300,,2015-01-12 17:13:21.387803,2015-01-12 17:13:21.387803
80,975126,1,350,,2015-01-12 17:13:21.436426,2015-01-12 17:13:21.436426
81,948404,2,30,,2015-01-12 17:13:21.471753,2015-01-12 17:13:21.471753
82,948411,1,510,,2015-01-12 17:13:21.511778,2015-01-12 17:13:21.511778
83,948406,2,280,,2015-01-12 17:13:21.545138,2015-01-12 17:13:21.545138
84,948366,1,495,,2015-01-12 17:13:21.580531,2015-01-12 17:13:21.580531
85,974180,4,150,,2015-01-12 17:13:21.620637,2015-01-12 17:13:21.620637
86,974183,1,2500,,2015-01-12 17:13:21.636434,2015-01-12 17:13:21.636434
87,974185,1,2200,,2015-01-12 17:13:21.654829,2015-01-12 17:13:21.654829
88,973560,1,450,,2015-01-12 17:13:21.695458,2015-01-12 17:13:21.695458
89,971723,2,80,,2015-01-12 17:13:21.73149,2015-01-12 17:13:21.73149
90,971722,2,180,,2015-01-12 17:13:21.77198,2015-01-12 17:13:21.77198
