id,name,content,generation_id,cached_generation,creator_id,phantom,created_at,updated_at,from,to
1,syncro,,104,b2,256143,t,2014-03-18 20:50:50.615686,2014-03-18 20:50:50.615686,,
2,инвайт,,106,2011,1641463,t,2014-05-14 14:26:21.013225,2014-05-14 14:26:21.013225,,
3,3.0 V6 N130,,108,4RUNNER,2969662,t,2014-09-03 05:44:46.271187,2014-09-03 05:44:46.271187,,
4,J,,109,ASTRA,4102032,t,2014-10-04 04:52:45.830635,2014-10-04 04:52:45.830635,,
5,4.4 v.8,,827,2005,4807810,t,2014-10-16 04:57:06.830297,2014-10-16 04:57:06.830297,,
8,3.5 АТ (249 л.с.) - 2GRFE,"",832,XV30 - V поколение,2708406,f,2014-12-20 19:44:49.816252,2014-12-20 19:44:49.816252,,
9,2.4 АТ (152 л.с.) - 2AZFE,"",832,XV30 - V поколение,2708406,f,2014-12-20 20:03:41.638559,2014-12-20 20:04:03.478597,,
10,"MNUVQ 2000...2006	MNUVQ	ZR,5FM/T	Япония	2000...2006	ZR	5FM/T",,896,V63W,2708406,t,2015-01-30 23:06:01.299144,2015-01-30 23:06:01.299144,,
11,"MRUVQ 2000...2006	MRUVQ	ZR,S4FA/T	Япония	2000...2006	ZR	S4FA/T",,896,V63W,2708406,t,2015-01-30 23:09:06.171588,2015-01-30 23:09:06.171588,,
